stock name,stock code,svg
Bitcoin,BTC,https://s3-symbol-logo.barterview.com/crypto/XTVCBTC.svg
Ethereum,ETH,https://s3-symbol-logo.barterview.com/crypto/XTVCETH.svg
Tether,USDT,https://s3-symbol-logo.barterview.com/crypto/XTVCUSDT.svg
BNB,BNB,https://s3-symbol-logo.barterview.com/crypto/XTVCBNB.svg
Solana,SOL,https://s3-symbol-logo.barterview.com/crypto/XTVCSOL.svg
XRP,XRP,https://s3-symbol-logo.barterview.com/crypto/XTVCXRP.svg
USD Coin,USDC,https://s3-symbol-logo.barterview.com/crypto/XTVCUSDC.svg
Cardano,ADA,https://s3-symbol-logo.barterview.com/crypto/XTVCADA.svg
Dogecoin,DOGE,https://s3-symbol-logo.barterview.com/crypto/XTVCDOGE.svg
Shiba Inu,SHIB,https://s3-symbol-logo.barterview.com/crypto/XTVCSHIB.svg
Avalanche,AVAX,https://s3-symbol-logo.barterview.com/crypto/XTVCAVAX.svg
Polkadot,DOT,https://s3-symbol-logo.barterview.com/crypto/XTVCDOT.svg
TRON,TRX,https://s3-symbol-logo.barterview.com/crypto/XTVCTRX.svg
Chainlink,LINK,https://s3-symbol-logo.barterview.com/crypto/XTVCLINK.svg
Polygon,MATIC,https://s3-symbol-logo.barterview.com/crypto/XTVCMATIC.svg
Toncoin,TON,https://s3-symbol-logo.barterview.com/crypto/XTVCTON.svg
Uniswap,UNI,https://s3-symbol-logo.barterview.com/crypto/XTVCUNI.svg
Bitcoin Cash,BCH,https://s3-symbol-logo.barterview.com/crypto/XTVCBCH.svg
Internet Computer,ICP,https://s3-symbol-logo.barterview.com/crypto/XTVCICP.svg
Litecoin,LTC,https://s3-symbol-logo.barterview.com/crypto/XTVCLTC.svg
NEAR Protocol,NEAR,https://s3-symbol-logo.barterview.com/crypto/XTVCNEAR.svg
Filecoin,FIL,https://s3-symbol-logo.barterview.com/crypto/XTVCFIL.svg
Ethereum Classic,ETC,https://s3-symbol-logo.barterview.com/crypto/XTVCETC.svg
UNUS SED LEO,LEO,https://s3-symbol-logo.barterview.com/crypto/XTVCLEO.svg
Dai,DAI,https://s3-symbol-logo.barterview.com/crypto/XTVCDAI.svg
Cosmos,ATOM,https://s3-symbol-logo.barterview.com/crypto/XTVCATOM.svg
Aptos,APT,https://s3-symbol-logo.barterview.com/crypto/XTVCAPTO.svg
Immutable X,IMX,https://s3-symbol-logo.barterview.com/crypto/XTVCIMXIMMUTABLEX.svg
Optimism,OP,https://s3-symbol-logo.barterview.com/crypto/XTVCOP.svg
Bittensor,TAO,https://s3-symbol-logo.barterview.com/crypto/XTVCTAOB.svg
Hedera,HBAR,https://s3-symbol-logo.barterview.com/crypto/XTVCHBAR.svg
Cronos,CRO,https://s3-symbol-logo.barterview.com/crypto/XTVCCRO.svg
Render Token,RNDR,https://s3-symbol-logo.barterview.com/crypto/XTVCRNDR.svg
Stacks,STX,https://s3-symbol-logo.barterview.com/crypto/XTVCSTACKS.svg
Stellar,XLM,https://s3-symbol-logo.barterview.com/crypto/XTVCXLM.svg
Pepe,PEPE,https://s3-symbol-logo.barterview.com/crypto/XTVCPEPE.svg
Injective,INJ,https://s3-symbol-logo.barterview.com/crypto/XTVCINJ.svg
The Graph,GRT,https://s3-symbol-logo.barterview.com/crypto/XTVCGRAPH.svg
OKB,OKB,https://s3-symbol-logo.barterview.com/crypto/XTVCOKB.svg
VeChain,VET,https://s3-symbol-logo.barterview.com/crypto/XTVCVET.svg
Kaspa,KAS,https://s3-symbol-logo.barterview.com/crypto/XTVCKAS.svg
Mantle,MNT,https://s3-symbol-logo.barterview.com/crypto/XTVCMNT.svg
First Digital USD,FDUSD,https://s3-symbol-logo.barterview.com/crypto/XTVCFDUSD.svg
